"sensorreadingtime","serialnumber","distancefromobject"
"1655564488103","058af4ef-68ed-4af7-b51d-b6223e5300ff","278"
"1655564478104","058af4ef-68ed-4af7-b51d-b6223e5300ff","266"
"1655564471438","058af4ef-68ed-4af7-b51d-b6223e5300ff","269"
"1655564218391","62dd0c82-b8b9-49ac-9b01-9bf158a31882","202"
"1655564152473","62dd0c82-b8b9-49ac-9b01-9bf158a31882","296"
"1655564446843","7e8a355b-8261-4423-9e07-b965a7f7df2b","284"
"1655564429343","7e8a355b-8261-4423-9e07-b965a7f7df2b","238"
"1655564408343","7e8a355b-8261-4423-9e07-b965a7f7df2b","279"
"1655564401343","7e8a355b-8261-4423-9e07-b965a7f7df2b","268"
"1655564489437","8caad855-8fb2-4e49-aff4-33aed0594897","238"
"1655564468206","8caad855-8fb2-4e49-aff4-33aed0594897","268"
"1655564409752","8e8b1abd-6751-44d7-a52e-a41fa1308f9a","264"
"1655564200669","1751b95c-5d4d-4b20-bf54-15b1a0c8427d","238"
"1655564177107","1751b95c-5d4d-4b20-bf54-15b1a0c8427d","270"
"1655564173741","1751b95c-5d4d-4b20-bf54-15b1a0c8427d","252"
"1655564153545","1751b95c-5d4d-4b20-bf54-15b1a0c8427d","230"
"1655564431983","1dfad22d-e71f-41bc-88ea-94e904275b35","213"
"1655564392323","1dfad22d-e71f-41bc-88ea-94e904275b35","216"
"1655564368527","1dfad22d-e71f-41bc-88ea-94e904275b35","220"
"1655564340765","1dfad22d-e71f-41bc-88ea-94e904275b35","224"
"1655564455333","e11328e4-02c4-4207-92d9-0258502a33b9","222"
"1655564443511","566a4578-c44c-474c-a645-eb6d9349e77a","263"
"1655564477347","6ed39dce-2ab4-44ed-a2a8-508e4777da01","206"
"1655564459182","6ed39dce-2ab4-44ed-a2a8-508e4777da01","265"
"1655564451916","6ed39dce-2ab4-44ed-a2a8-508e4777da01","237"
"1655564432878","eac464c3-b61e-4c89-8081-035da4752f6b","214"
"1655564416548","eac464c3-b61e-4c89-8081-035da4752f6b","264"
"1655564406750","eac464c3-b61e-4c89-8081-035da4752f6b","268"
"1655564400218","eac464c3-b61e-4c89-8081-035da4752f6b","218"
"1655564395032","f8e09680-6e0c-46b4-b7a7-eacd8372b079","297"
"1655564455758","348a74d5-fe15-4fbc-b491-acea41639e02","241"
"1655564451426","348a74d5-fe15-4fbc-b491-acea41639e02","228"
"1655564425434","348a74d5-fe15-4fbc-b491-acea41639e02","297"
"1655564444119","b48d319c-6783-4a80-9567-aa4da1e8b005","253"
"1655563996293","9dc1d86f-b7c7-451c-90dc-23d54adeec19","241"
"1655563970633","9dc1d86f-b7c7-451c-90dc-23d54adeec19","241"
"1655563968067","9dc1d86f-b7c7-451c-90dc-23d54adeec19","241"
"1655563960369","9dc1d86f-b7c7-451c-90dc-23d54adeec19","232"
"1655564464160","240acc0b-9210-4fb9-9af5-97b5f225b8dd","234"
"1655564439450","addfed4f-228c-48a8-93b8-907ad8c7a7bf","300"
"1655564429052","addfed4f-228c-48a8-93b8-907ad8c7a7bf","245"
"1655564397858","addfed4f-228c-48a8-93b8-907ad8c7a7bf","203"
"1655564433016","b8ba2935-a6d8-44cf-b98a-f2e922beb394","219"
"1655562655836","57dc85a7-bd11-4f98-89f0-226345bc4a2a","290"
"1655562641671","57dc85a7-bd11-4f98-89f0-226345bc4a2a","292"
"1655562607675","57dc85a7-bd11-4f98-89f0-226345bc4a2a","229"
"1655562596343","57dc85a7-bd11-4f98-89f0-226345bc4a2a","251"
"1655562587844","57dc85a7-bd11-4f98-89f0-226345bc4a2a","296"
"1655562585011","57dc85a7-bd11-4f98-89f0-226345bc4a2a","299"
"1655564496062","16ea267c-a741-4103-afd1-f523ae3c4fbe","278"
"1655564421662","16ea267c-a741-4103-afd1-f523ae3c4fbe","261"
"1655564454020","4cdf7801-127a-4dd3-83a1-bc1775300cb7","258"
"1655564444021","4cdf7801-127a-4dd3-83a1-bc1775300cb7","247"
"1655564417357","4cdf7801-127a-4dd3-83a1-bc1775300cb7","241"
"1655564174850","e05af9a1-f574-4c11-9476-7ad084e07c2a","237"
"1655564155020","e05af9a1-f574-4c11-9476-7ad084e07c2a","272"
